11500 2
485.5402 100.0255 02
390.4202 463.3411 03
250.2017 463.4066 03
516.0498 400.8176 03
487.3341 493.3638 03
279.3484 308.6306 03
248.7848 106.7888 01
485.2831 389.6719 03
562.5040 356.7708 03
146.7972 433.3858 03
266.8984 591.6103 03
415.0006 396.8839 03
480.3265 423.3339 03
253.8822 570.1245 03
365.7885 303.5940 03
172.4059 433.0285 03
261.5059 518.8568 03
246.8595 83.8944 01
250.5099 336.8039 03
482.2746 102.8809 02
289.0035 500.1360 03
491.6000 373.3399 03
701.9267 488.5206 05
519.5460 75.7760 02
409.2938 303.4402 03
576.7699 119.1430 02
227.1793 282.8219 03
272.5763 234.3315 03
502.6564 417.5334 03
423.8422 585.2619 03
720.5999 362.6154 04
585.4349 138.0131 02
311.0544 494.3834 03
719.6276 303.1312 04
403.1991 386.8151 03
519.3202 336.6987 03
238.2244 574.7504 03
247.2800 392.3111 03
548.5828 364.1432 03
177.4731 440.1214 03
470.5814 576.4061 03
500.4533 299.7870 03
292.4801 367.5030 03
557.4138 118.6245 02
225.1708 293.1511 03
151.9885 374.0278 03
455.5119 556.6803 03
676.3065 368.1808 04
448.4418 306.2290 03
475.8289 351.3016 03
517.2771 470.5984 03
538.5291 463.8480 03
369.5947 67.6619 01
207.4481 503.9682 03
139.4725 447.9027 03
691.7018 379.4645 04
548.0116 327.2003 03
287.8289 360.8997 03
276.8762 386.7064 03
552.9575 432.9144 03
192.2927 290.4220 03
178.4996 481.6494 03
471.0723 438.5815 03
689.7857 497.4357 05
300.0328 606.3482 03
502.9136 495.1546 03
303.3504 571.3850 03
354.1791 96.3601 01
282.0410 310.8673 03
316.7297 367.2574 03
410.0804 493.4331 03
339.4578 559.9261 03
243.1026 536.0877 03
234.2866 413.2612 03
447.7194 574.4904 03
321.8878 463.2243 03
421.4937 531.8183 03
333.6722 471.5010 03
693.6058 370.3872 04
254.4379 271.2790 03
304.8351 454.6055 03
271.4801 473.9300 03
354.8424 280.3230 03
164.0936 428.7013 03
178.4416 515.4676 03
706.1321 534.5503 05
251.5816 111.5953 01
470.3799 406.0070 03
313.4282 402.5580 03
374.3401 435.4350 03
248.8807 420.0944 03
504.1351 542.2941 03
242.5685 269.2100 03
532.3121 538.4192 03
249.2443 397.5395 03
555.7734 457.7570 03
335.2130 552.5265 03
302.0630 400.2820 03
421.8082 240.4892 03
333.9324 487.6249 03
267.2827 379.0760 03
219.9321 288.6469 03
486.8759 91.6793 02
419.7238 300.5819 03
367.9512 614.3126 03
391.3627 316.9740 03
429.4586 446.4491 03
277.2151 458.1959 03
238.9154 96.8410 01
391.0102 261.7783 03
670.8553 472.4924 05
692.7744 521.2338 05
254.7078 406.7641 03
740.2105 368.5854 04
545.6690 411.4345 03
177.9414 121.3280 01
153.8310 469.5896 03
504.5213 331.1912 03
600.4420 134.6972 02
439.4418 410.3311 03
519.6829 312.5245 03
364.2071 305.6738 03
449.0003 332.6957 03
312.2415 602.3593 03
557.9603 335.9272 03
453.2454 447.7403 03
202.6111 312.6710 03
345.2647 321.4977 03
149.9359 359.3036 03
735.9121 301.8276 04
592.0816 119.1928 02
312.8038 93.5249 01
270.2899 547.5451 03
711.9701 372.9024 04
145.1710 415.7682 03
189.0177 321.7796 03
311.8652 267.8522 03
208.6053 85.5005 01
486.8250 362.2066 03
273.3980 500.8507 03
339.1180 277.2020 03
244.0124 250.2771 03
443.1157 466.6170 03
226.3599 426.4370 03
181.2106 336.6864 03
452.3082 297.3832 03
700.6078 321.4640 04
148.3267 489.7469 03
558.6767 77.8958 02
338.1471 412.6153 03
306.3113 508.0125 03
365.4963 486.2282 03
459.4005 313.3463 03
204.7381 387.2295 03
394.7259 221.1427 03
472.6865 337.8487 03
326.4775 124.7313 01
420.8694 306.7032 03
171.0019 487.1828 03
628.1078 104.6469 02
325.2609 290.0017 03
571.9485 105.5528 02
370.0191 396.9105 03
350.3678 228.8152 03
350.4172 117.0515 01
314.8697 338.9863 03
322.9859 532.3870 03
484.5467 268.8070 03
266.7581 129.8989 01
499.9731 264.0543 03
182.7909 400.0831 03
658.3698 121.8769 02
550.1343 326.7385 03
497.6884 491.5253 03
240.9529 478.6048 03
303.0802 127.9391 01
714.0478 125.7277 02
431.5670 263.9959 03
461.6417 434.4922 03
408.8288 435.2693 03
185.1380 522.3437 03
223.6288 466.7535 03
587.9769 416.4621 03
451.2090 392.1294 03
370.8342 411.9138 03
458.1947 374.0520 03
515.0634 483.0263 03
443.6882 574.1746 03
489.7028 434.7552 03
149.5656 442.6273 03
240.3057 349.6531 03
390.4080 586.2898 03
370.5730 381.1291 03
688.5860 488.9339 05
347.5095 459.2676 03
250.6436 313.2536 03
734.7402 456.3486 05
377.3231 452.7476 03
707.0111 293.9329 04
256.0529 136.1149 01
729.4227 523.8786 05
481.6020 489.8812 03
485.0379 577.9470 03
265.1548 100.7560 01
437.9809 232.8677 03
620.5248 74.4917 02
529.7863 277.9176 03
667.9258 484.2016 05
352.7607 320.4430 03
437.9067 264.8898 03
690.5362 469.7554 05
159.6975 103.9468 01
379.6696 494.3914 03
152.5394 402.6269 03
240.5219 490.4069 03
377.5910 525.6488 03
690.6813 312.7926 04
467.3591 275.9371 03
415.1998 111.0374 01
330.1770 462.2484 03
268.5140 492.6001 03
147.1583 452.9931 03
319.1518 359.5936 03
437.8265 261.4577 03
302.3447 328.5641 03
279.5757 63.1874 01
178.5477 508.0805 03
376.2006 236.3267 03
200.2923 501.3928 03
506.6973 278.6890 03
707.2815 96.4529 02
299.1607 447.1908 03
398.5332 77.5378 01
317.8732 326.9228 03
320.0126 393.8558 03
410.3523 474.0461 03
373.0592 356.4379 03
222.4228 393.4388 03
303.9835 108.0678 01
530.1761 466.0906 03
441.7691 598.2755 03
639.4912 144.6739 02
504.6068 282.3233 03
199.1693 449.8436 03
394.8529 428.7250 03
303.6140 537.5573 03
618.3303 86.4185 02
367.5882 513.3291 03
232.4443 113.1807 01
547.7181 504.3390 03
720.8754 467.1263 05
255.5512 125.0788 01
452.0077 444.8484 03
404.1422 597.9248 03
220.4148 135.4225 01
194.9251 508.3846 03
285.5444 427.6763 03
306.1888 89.2231 01
262.3390 453.6660 03
188.8584 333.2058 03
393.8826 240.0099 03
179.2318 517.8728 03
345.9463 87.1987 01
458.1171 345.0617 03
413.5324 429.9466 03
324.2974 222.1099 03
211.5312 522.6873 03
476.8893 471.7673 03
143.0038 418.4000 03
244.2693 300.8322 03
301.1859 572.3542 03
497.2444 372.7949 03
700.8755 457.8190 05
506.9858 484.9714 03
286.9866 512.1237 03
520.8857 89.4246 02
236.1750 364.7382 03
235.7647 345.5357 03
526.5434 93.2312 02
207.6754 123.2923 01
386.8763 470.9636 03
229.9251 395.6770 03
703.4428 129.3904 02
589.7604 108.3194 02
579.3317 371.7560 03
388.1295 565.2298 03
682.6287 324.3203 04
437.8378 483.8747 03
286.2368 440.0039 03
190.3597 501.7999 03
318.6003 530.8940 03
270.8562 451.9746 03
167.3159 118.8019 01
