11500 2
118.2791 303.2096 01
571.4287 346.3075 09
320.5117 375.3004 07
95.9467 275.8228 06
242.0047 275.4357 07
643.7495 336.7752 04
159.3191 306.0656 06
439.0436 271.1781 08
393.9040 320.8864 08
340.1563 330.8380 07
257.6749 336.7451 02
602.2983 373.6347 09
270.1181 277.7718 07
120.9611 305.6254 01
583.9509 272.8927 09
664.7838 340.4037 09
636.7819 330.8491 04
498.9696 287.9506 08
129.0117 350.1383 01
486.4460 380.9925 08
418.4830 370.4161 08
589.6669 263.7192 09
503.2389 369.2572 08
447.7721 270.5736 08
850.9883 304.7219 010
235.5993 330.6828 07
418.5846 379.1000 08
327.1958 301.5446 07
646.2739 328.6425 04
634.1451 351.3089 04
559.3208 317.9898 09
173.0074 355.4235 06
668.0512 353.3090 09
558.7504 331.1211 09
483.1444 367.3836 08
482.2212 338.3240 03
494.9664 277.5120 08
222.5854 308.8678 07
402.7487 340.5858 08
687.0455 344.0115 09
397.3090 357.3317 08
744.0663 343.1304 010
106.7164 255.0592 06
303.6978 371.6637 07
235.5722 348.5954 07
722.8163 334.2924 010
222.2372 332.5338 07
814.5068 344.1387 05
676.2934 312.5893 09
218.2269 328.2507 07
315.2697 384.2482 07
740.6931 358.2466 010
105.6662 315.2221 01
605.7898 300.7618 04
588.3538 307.6988 04
510.7015 320.2284 08
261.4266 260.5431 07
671.2129 333.9257 09
494.9768 269.7887 08
299.4232 326.2836 02
437.5778 254.3306 08
564.4936 359.1421 09
792.8231 292.9798 05
577.7700 282.3488 09
593.5055 265.6448 09
125.4805 297.5729 01
801.7459 332.3322 05
392.5012 315.2269 08
798.3918 374.4909 010
138.9763 276.5986 06
95.1841 307.9747 01
395.0140 369.2496 08
124.4706 313.9435 01
172.4299 331.4130 06
589.0191 335.8916 04
768.1933 393.9962 010
259.1649 302.8161 02
819.6870 358.7343 010
780.2205 268.9653 010
169.9214 359.3666 06
83.1138 286.1745 06
414.6332 296.1550 08
593.3329 388.1161 09
569.9782 286.9217 09
666.3301 315.6268 09
144.3110 308.9387 01
761.2592 367.5338 010
607.4252 266.3584 09
603.6396 382.8815 09
666.3178 358.2512 09
222.7934 323.0299 07
97.5535 263.5021 06
342.4771 305.2486 07
101.4233 378.5170 06
291.8783 275.8586 07
392.7874 313.4324 08
680.0963 322.1502 09
572.7328 325.2263 09
413.3813 287.3105 08
466.0711 271.7489 08
671.5372 323.4548 09
640.9309 336.0300 04
793.8860 279.8544 010
677.5040 347.4032 09
823.3647 364.8853 010
134.3717 368.4437 06
645.4551 320.5921 04
333.7826 362.9466 07
449.5032 342.0410 03
148.8656 316.0691 01
846.8021 287.4805 010
104.2202 341.8605 01
831.1930 351.6124 010
741.5441 339.9115 010
676.7207 298.6143 09
213.0689 308.4751 07
101.6022 333.2267 01
174.5777 315.3287 06
396.8280 280.6945 08
789.9302 354.3366 05
810.8639 352.1188 05
62.7366 349.7996 06
300.1644 327.8810 02
476.2829 319.7251 03
767.8099 323.5275 05
245.1195 291.3482 07
638.4525 319.9492 04
177.5885 325.6945 06
567.8319 335.1282 09
733.4956 279.1210 010
242.8282 361.1390 07
465.2279 357.1168 03
575.1162 276.1450 09
512.7953 320.3242 08
618.3342 347.6659 04
273.7156 273.6417 07
468.4030 341.5733 03
313.9669 280.0116 07
459.7408 342.9182 03
750.6714 295.2842 010
276.8772 354.7003 02
800.5000 335.9918 05
109.5925 377.7371 06
767.5726 257.0625 010
333.4966 285.6313 07
561.5496 359.3155 09
61.6914 282.7941 06
350.1013 338.9777 07
561.2262 306.7622 09
828.7383 290.8988 010
290.5619 299.2556 02
771.5233 379.0509 010
401.2530 303.8614 08
848.1180 306.3147 010
667.7920 344.5752 09
745.2458 298.3751 010
820.2514 313.4902 05
133.2548 304.0254 01
644.8437 343.4135 04
817.2626 282.6948 010
662.7666 292.7972 09
308.9685 327.4135 02
217.6848 354.0305 07
254.0126 319.4625 02
660.2513 277.0741 09
98.6079 341.0421 01
673.4808 331.2158 09
167.8130 345.5657 06
679.7161 356.0973 09
590.2907 348.8666 04
491.0449 373.6102 08
582.3072 288.3863 09
634.6117 303.6388 04
90.8245 325.9039 01
604.3305 311.7082 04
440.1943 337.5063 03
780.6951 356.4740 05
589.2476 318.6058 04
750.1928 281.9275 010
482.7967 326.5625 03
621.2436 268.1704 09
166.7548 372.3093 06
782.9358 384.6594 010
514.9152 340.9695 08
152.3875 371.2790 06
341.6267 337.7534 07
488.4501 279.9625 08
120.0863 262.7138 06
563.9524 353.9303 09
684.3195 304.0914 09
683.1709 351.9446 09
75.9098 288.3555 06
456.9560 262.9676 08
94.6723 322.1769 01
171.4785 363.5867 06
68.2122 330.2753 06
680.3562 314.9598 09
569.3164 334.1035 09
843.1676 323.2240 010
133.9550 318.4266 01
466.1394 356.9501 03
857.0478 326.3842 010
251.7246 313.9657 02
345.1063 321.4973 07
